,director_name,actor_2_name,gross,actor_1_name,actor_3_name,plot_keywords
2521,Rowdy Herrington,Jeremy Northam,2694071.0,Aidan Quinn,Paul Freeman,colon in title|competition|five word title|golf|temper
2522,Jim Goddard,Paul Freeman,2315683.0,Victor Wong,Clyde Kusatsu,china|missionary|opium|villain|year 1937
2523,Neil Burger,Eddie Marsan,39825798.0,Rufus Sewell,Jake Wood,duchess|illusionist|magician|prince|supernatural power
2524,Noel Marshall,Melanie Griffith,2000000.0,Tippi Hedren,Zakes Mokae,chase|dead man|jungle|killing a lion|killing a tiger
2525,Joel Schumacher,David Murray,1569918.0,Brenda Fricker,Gerard McSorley,criminal|drug lord|gunshot|irish|journalist
2526,Andrea Di Stefano,Brady Corbet,106869.0,Josh Hutcherson,Carlos Bardem,colombia|dream|love|surfer|village
2527,Richard Kelly,Curtis Armstrong,273420.0,Janeane Garofalo,Chris Andrew Ciulla,amnesia|boxer|conspiracy|police|porn star
2530,Todd Lincoln,Rick Gomez,4930798.0,Julianna Guill,Tim Williams,e mail|evil spirit|experiment|fear|supernatural
2531,Howard Zieff,Jamie Lee Curtis,59847242.0,Macaulay Culkin,Griffin Dunne,best friend|funeral|girl|overalls|summer
2532,Steven Shainberg,Ty Burrell,220914.0,Robert Downey Jr.,Matt Servitto,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair
2533,Neil Burger,Eddie Marsan,39825798.0,Rufus Sewell,Jake Wood,duchess|illusionist|magician|prince|supernatural power
2534,Oliver Stone,Tamara Tunie,43848100.0,Hal Holbrook,James Karen,1980s|argument|critique of capitalism|f word|fired from the job
2535,Ang Lee,Kate Winslet,42700000.0,Alan Rickman,Tom Wilkinson,1810s|female protagonist|horseback riding|inheritance|three word title
2536,Julian Jarrold,Julie Walters,18663911.0,Anne Hathaway,Laurence Fox,country estate|jane austen|lady|love|writing
2537,Joe Nussbaum,Matt Long,11702090.0,Danny Strong,Samm Levine,college|college girl|female protagonist|sorority|sorority house
2538,Vadim Perelman,Kim Dickens,13005485.0,Frances Fisher,Ron Eldard,auction|home|house|iranian|marriage
2539,Peter Weir,Josh Charles,95860116.0,Robin Williams,Kurtwood Smith,education|english teacher|poet|professor|student
2540,Peter Farrelly,Mike Starr,127175354.0,Lauren Holly,Teri Garr,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella
2541,Rob Reiner,Gretchen Palmer,92823600.0,Bruno Kirby,Harley Jane Kozak,friendship|love|male female friendship|new york|sex
2542,Sidney Lumet,James Mason,54000000.0,Charlotte Rampling,Jack Warden,archdiocese|court|hospital|lawyer|malpractice
2543,Todd Phillips,Rachel Blanchard,68525609.0,Ethan Suplee,Paulo Costanzo,blonde|college|friend|highway travel|road trip
2544,Brian Robbins,Ron Lester,52885587.0,Paul Walker,Mark Walters,coach|coyote|popularity|quarterback|texas
2545,Michel Hazanavicius,Ed Lauter,44667095.0,Bérénice Bejo,Beth Grant,1920s|jack russell terrier|modern silent movie|movie star|movie studio
2546,David S. Goyer,Atticus Shaffer,42638165.0,Gary Oldman,Rachel Brosnahan,babysitting|experiment|nightmare|possession|twin
2547,Wes Anderson,Bill Murray,45507053.0,Bruce Willis,Bob Balaban,1960s|boy scouts|boy scouts camp|coming of age|young love
2548,Jonathan Liebesman,Jordana Brewster,39511038.0,Matt Bomer,Lew Temple,cannibal|car accident|leatherface|psychopath|slaughterhouse
2549,Cyrus Nowrasteh,Vincent Walsh,6462576.0,Clive Russell,Finn Ireland,based on novel
2550,Perry Andelin Blake,Kenan Thompson,40363530.0,Jennifer Esposito,James Brolin,disguise|mask|master of disguise|restaurant|waiter
2551,Guillermo del Toro,Maribel Verdú,37623143.0,Ivana Baquero,Sergi López,fairy|fairy tale|faun|princess|spain
2553,John Whitesell,Angus T. Jones,33357476.0,Leslie Bibb,Paul Sorvino,boy|fbi|mailman|van|witness protection
2554,John Singleton,Snoop Dogg,28734552.0,Mo'Nique,Angell Conwell,cartoon on tv|family relationships|physical abuse|single parent|two word title
2555,Christian E. Christiansen,Danneel Ackles,37300107.0,Leighton Meester,Frances Fisher,animal abuse(non graphic)|cat killer|college|dead cat|death of cat
2556,Dennie Gordon,Erik Per Sullivan,27087695.0,Brittany Daniel,Fred Ward,first part|grand canyon|highway travel|indian|janitor
2557,Sheldon Lettich,Alonna Shaw,30102717.0,Bolo Yeung,Kamel Krifa,boat|hong kong|murder|tunnel|twins
2558,Edgar Wright,Joe Cornish,23618786.0,Bill Bailey,Billie Whitelaw,accident|conspiracy|police|police officer|village
2559,Diane English,Debi Mazar,26896744.0,Jada Pinkett Smith,Debra Messing,beauty salon|divorce|fashion|new york|perfume
2560,Woody Allen,Kevin Dunn,23213577.0,Scarlett Johansson,Christopher Evan Welch,art|artist|painter|sex|summer
2562,Jon Lucas,Jay Hernandez,55461307.0,Mila Kunis,Jada Pinkett Smith,lesbian kiss|mom|pta|reference to mad max|scene during end credits
2563,Robert Iscove,Amanda Detmer,20627372.0,Alyson Hannigan,Tsianina Joelson,best friend|break up|friendship|graduation|male in underwear
2564,Peter Kosminsky,Cole Hauser,16346122.0,Patrick Fugit,Marc Donato,california|foster home|love|oleander|prison
2565,Karyn Kusama,Amy Sedaris,16204793.0,J.K. Simmons,Cynthia Stevenson,cannibalism|cheerleader|condom|hook for hand|satanic ritual
2566,Nick Gomez,Jamie Lee Curtis,15427192.0,Will Ferrell,Tracey Walter,crying woman|plot|suspect|waitress|younger man older woman relationship
2567,Woody Allen,Don Pardo,14792779.0,Mike Starr,Julie Kavner,beach|cigarette girl|radio|woman holding a baby|working class
2568,Vic Armstrong,Lea Thompson,13998282.0,Nicolas Cage,Quinton Aaron,bible quote|chaos|faith|riot|shrine
2569,Allen Coulter,Lena Olin,19057024.0,Robert Pattinson,Ruby Jerins,binge drinking|new york|new york city|september 11 2001|suicide
2570,Clare Kilner,Alexandra Holden,14108518.0,Dylan Baker,Trent Ford,best friend|high school|mother|sister|wedding
2571,Richard Benjamin,Alyson Hannigan,13854000.0,Jon Lovitz,Tony Jay,alien|earth|female alien|mission|secret
2572,Jonathan Demme,Tom Hanks,77324422.0,Denzel Washington,Jason Robards,aids|city name in title|gay|homophobia|lawyer
2573,Josef Rusnak,Craig Bierko,15500000.0,Gretchen Mol,Brad William Henke,amnesia|barricade|letter|time|virtual reality
2574,Lance Rivera,Vincent Pastore,11540112.0,Farrah Fawcett,Jenifer Lewis,flatulence|interracial marriage|marriage
2576,Bruce Paltrow,Marian Seldes,4734235.0,Lochlyn Munro,Huey Lewis,convict|karaoke|middle america|salesman|singer
2577,Woody Allen,Debra Messing,4839383.0,Woody Allen,Treat Williams,blind|director|psychosomatic blindness|self deprecating|studio
2578,Adam Rifkin,Lin Shaye,4193025.0,Natasha Lyonne,Shannon Tweed,band|concert|high school|kiss|teenager
2579,Russell Mulcahy,Jon Polito,5900000.0,Christopher Lambert,Celia Imrie,combat|head cut off|immortal|scotland|swordsman
2580,Susanne Bier,Omar Benson Miller,2849142.0,Alison Lohman,Robin Weigert,best friend|dinner|garage|narcotics anonymous|recovery
2581,Kenneth Johnson,Annabeth Gish,1686429.0,Charles Napier,Hill Harper,fight|gang|junkyard|military|soldier
2582,James Gray,Dagmara Dominczyk,1984743.0,Jeremy Renner,Angela Sarafyan,immigrant|immigration|magician|money|prostitution
2583,James Ivory,Natasha Richardson,1666262.0,Vanessa Redgrave,Lynn Redgrave,countess|diplomat|japanese|russian|shanghai
2584,Danny Boyle,Spencer Wilding,2319187.0,Rosario Dawson,Tuppence Middleton,amnesia|criminal|heist|hypnotherapy|lost painting
2585,Jessy Terrero,Snoop Dogg,13922211.0,Mo'Nique,Tom Arnold,airline|airplane|bathroom|sex|toilet
2587,Vicente Amorim,Jodie Whittaker,23091.0,Viggo Mortensen,Steven Mackintosh,censorship|children|corpse|heil hitler|suffering
2588,Gaspar Noé,Emily Alyn Lind,336467.0,Paz de la Huerta,Olly Alexander,drug deal|drugs|explicit sex|love|stripper
2589,Amy Heckerling,Justin Kirk,2964.0,Taylor Negron,Ivan Sergei,murder|new york city|one word title|vampire|vampire slayer
2592,Tommy Lee Jones,Tim Blake Nelson,2428883.0,Barry Corbin,Miranda Otto,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging
2593,Jesse Vaughan,Jenifer Lewis,13571817.0,Vivica A. Fox,Kevin Pollak,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner
2595,Atom Egoyan,Marie-Josée Croze,1554566.0,David Alpay,Charles Aznavour,armenian|armenian genocide|customs agent|genocide|prayer
2596,William Bindley,Jake Lloyd,508867.0,Bruce Dern,William Shockley,boat racing|hydroplane|loyalty|one word title|scolding
2597,Wayne Beach,LL Cool J,1181197.0,Mekhi Phifer,Fisher Stevens,district attorney|interview|murder|prosecutor|reporter
2598,Gérard Krawczyk,Ryôko Hirosue,81525.0,Carole Bouquet,Michel Muller,french|inheritance|japan|letter|police detective hero
2599,James Gunn,Gregg Henry,7774730.0,Dustin Milligan,Tania Saulnier,alien|b movie|sex|slug|small town
2600,Martin Brest,Ronny Cox,234760500.0,Judge Reinhold,James Russo,drug dealer|drugs|murder|police brutality|police shootout
2601,Chris Columbus,Devin Ratray,285761243.0,Macaulay Culkin,Catherine O'Hara,airport|child protagonist|child swearing|christmas|home alone
2602,Leonard Nimoy,Ted Danson,167780960.0,Tom Selleck,Steve Guttenberg,1980s|baby|heroin|package|questioned by police
2603,Sydney Pollack,Sydney Pollack,177200000.0,Bill Murray,Teri Garr,actor|actress|friend|love|reputation
2604,Tony Scott,Tom Skerritt,176781728.0,Tom Cruise,Adrian Pasdar,flying|gay subtext|machismo|male objectification|pilot
2605,Ang Lee,Pei-Pei Cheng,128067808.0,Chen Chang,Sihung Lung,bare midriff|china|magical realism|martial arts|sword
2606,Sam Mendes,Peter Gallagher,130058047.0,Kevin Spacey,Ara Celi,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness
2607,Tom Hooper,Jennifer Ehle,138795342.0,Colin Firth,Derek Jacobi,king|king george vi|speech|speech therapist|throne
2608,Ivan Reitman,Tony Jay,111936400.0,Kelly Preston,Hugh O'Brian,bare chested male|brother|catholic orphanage|long lost siblings|twins
2610,Udayan Prasad,Eddie Redmayne,317040.0,Kristen Stewart,William Hurt,louisiana|overalls|road trip|southern u.s.|teenage boy
2611,Steven Spielberg,Rae Dawn Chong,94175854.0,Oprah Winfrey,Dana Ivey,book strap|girl|racial discrimination|racial tension|stereotype
2614,Morten Tyldum,Rory Kinnear,91121452.0,Benedict Cumberbatch,Allen Leech,crossword puzzle|cryptography|enigma code|gay lead character|world war two
2615,Howard Zieff,Albert Brooks,69800000.0,Eileen Brennan,Alan Oppenheimer,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose
2616,Michael Apted,Beverly D'Angelo,79900000.0,Sissy Spacek,Levon Helm,country music|kissing while having sex|poverty|singer|title based on song
2617,Thor Freudenthal,Zachary Gordon,64001297.0,Chloë Grace Moretz,Rachael Harris,cheese|diary|friend|middle school|school
2618,Andrés Muschietti,Megan Charpentier,71588220.0,Javier Botet,Isabelle Nélisse,aunt|children|death of sister|forest|hiding in a closet
2619,John Carpenter,Donald Pleasence,47000000.0,Jamie Lee Curtis,P.J. Soles,halloween|masked killer|michael myers|slasher|trick or treat
2620,Harold Ramis,Randy Quaid,61400000.0,Beverly D'Angelo,Jane Krakowski,amusement park|dog|family vacation|national lampoon series|vacation
2621,Jeff Tremaine,Georgina Cates,101978840.0,Jackson Nicoll,Grasie Mercedes,child beauty pageant|grandson|hidden camera|jackass|road trip
2622,Stephen Frears,Sylvia Syms,56437947.0,Roger Allam,Alex Jennings,monarchy|prime minister|princess diana|queen|speech
2623,Tim Burton,Jeffrey Jones,73326666.0,Catherine O'Hara,Glenn Shadix,attic|ghost|surrealism|teenage girl|yuppie
2624,Tyler Perry,Tasha Smith,55184721.0,Michael Jai White,Lamman Rucker,marriage|overweight|psychologist|secret|work
2625,Gillian Armstrong,Kirsten Dunst,50003300.0,Christian Bale,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war
2626,James Watkins,Roger Allam,54322273.0,Daniel Radcliffe,Jessica Raine,afterlife|baby boy|bird in a cage|ghost|reunited family
2627,Simon West,Tessa Thompson,47860214.0,Madeline Carroll,Brian Geraghty,babysitting|cell phone|high school|nightmare|teenager
2628,Shawn Levy,Donald Faison,47811275.0,Frankie Muniz,Lee Majors,brunette|film producer|liar|prank|stunt
2630,Barry Levinson,Kirsten Dunst,43022524.0,Robert De Niro,John Michael Higgins,death|election|hollywood|president|scandal
2631,Jim Fall,Adam Lamberg,42672630.0,Clayton Snyder,Alex Borstein,best friend|roma|singer|spaghetti|teenager
2632,Ric Roman Waugh,Harold Perrineau,42919096.0,Dwayne Johnson,Nadine Velazquez,cigarette smoking|dea|drugs|inspired by true events|undercover
2633,Michael Dougherty,Conchata Ferrell,42592530.0,Adam Scott,Allison Tolman,christmas|german|holiday|krampus|santa claus
2634,Robert Rodriguez,Salma Hayek,40064955.0,Jordana Brewster,Clea DuVall,alien|high school|ohio|photographer|water
2635,Brian Gibson,Virginia Capers,39100956.0,Rae'Ven Kelly,Dororthy Thorton,abusive husband|love|singer|tina turner|violence
2636,James Mangold,Sylvester Stallone,44886089.0,Robert De Niro,Janeane Garofalo,corruption|faked death|falling off a roof|internal affairs|nypd
2637,Joel Gallen,JoAnna Garcia Swisher,37882551.0,Chris Evans,Mia Kirshner,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom
2638,David Ayer,Anna Kendrick,40983001.0,Jake Gyllenhaal,America Ferrera,lapd|police|police officer|south central los angeles|street gang
2639,Cameron Crowe,Bradley Cooper,20991497.0,Emma Stone,Bill Murray,box office flop|critically bashed|hawaii|one word title|written by director
2640,Rob Cohen,Leslie Bibb,35007180.0,Paul Walker,William Petersen,college|friend|ivy league|secret society|suicide
2641,James Marsh,Emily Watson,35887263.0,Eddie Redmayne,Simon McBurney,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist
2642,John Whitesell,Regina Hall,34308901.0,Greg Grunberg,Blair Underwood,los angeles california|person in car trunk|racial impersonation|south asian|street gang
2643,Matt Williams,James Frain,33771174.0,Natalie Portman,Stockard Channing,birth|oklahoma|photographer|tennessee|wal mart
2644,David Lean,José Ferrer,6000000.0,Claude Rains,Jack Hawkins,arab|british military|desert|ottoman empire|t.e. lawrence
2645,Rob Zombie,Tyler Mane,33386128.0,Scout Taylor-Compton,Margot Kidder,halloween|hospital|michael myers|rampage|vomiting
2646,Jean-Marc Vallée,Kevin Rankin,37877959.0,Michiel Huisman,Gaby Hoffmann,female protagonist|grief|hiking|loss of mother|mother daughter relationship
2647,Dennis Iliadis,Monica Potter,32721635.0,Tony Goldwyn,Martha MacIsaac,kidnapping|lake|microwave oven|psychopath|woods
2648,Clare Kilner,Debra Messing,31585300.0,Jack Davenport,Holland Taylor,chick flick|escort|male escort|wedding|wedding date
2649,Rick Rosenthal,Thomas Ian Nicholas,30259652.0,Jamie Lee Curtis,Bianca Kajlich,cult film|halloween|killer|michael myers|serial killer
2650,Louis Leterrier,Jason Flemyng,163192114.0,Liam Neeson,Alexa Davalos,famous line|hand to hand combat|kraken|rape|zeus
2651,Rob Reiner,Carol Kane,30857814.0,Robin Wright,André the Giant,fairy tale|giant|pirate|princess|true love
2652,Denzel Washington,Jurnee Smollett-Bell,30226144.0,Denzel Washington,John Heard,college|debate|student|texas|wiley college
2653,Nicolas Winding Refn,Albert Brooks,35054909.0,Ryan Gosling,Russ Tamblyn,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist
2654,Sara Sugarman,Carol Kane,29302097.0,Adam Garcia,Glenne Headly,band|friend|new york city|suburb|teenager
2655,Nicholas Hytner,Tim Daly,29106737.0,Liam Aiken,Kali Rocha,baby|dancing|gay|name calling|penis slur
2656,Juan Carlos Fresnadillo,Harold Perrineau,28637507.0,Jeremy Renner,Catherine McCormack,paris france|rage|sniper|u.s. army|zombie apocalypse
2657,Thomas Carter,Matthew Daddario,30127963.0,Jessie T. Usher,Ser'Darius Blain,coach|high school football
2658,Wayne Wang,Luke Benward,32645546.0,Cicely Tyson,Eva Marie Saint,10 year old|dog|florida|girl|supermarket
2659,Gina Prince-Bythewood,Sanaa Lathan,27441122.0,Alfre Woodard,Omar Epps,basketball movie|female basketball player|high school|nba|title directed by female
2660,George Armitage,Michael Cudlitz,28014536.0,Minnie Driver,Mitchell Ryan,assassin|high school|high school reunion|reunion|suburb
2661,Phil Traill,Katy Mixon,33860010.0,Bradley Cooper,Beth Grant,blind date|crossword puzzle|eccentric|fall|mine shaft
2662,Joe Berlinger,Erica Leerhsen,26421314.0,Kim Director,Kurt Loder,convenience store|digit in title|punctuation in title|violence|witch
2663,Andrew Fleming,Rachel True,24881000.0,Christine Taylor,Brenda Strong,coven|occult|outcast|spell|witch
2664,Woody Allen,Mark Gatiss,23089926.0,Scarlett Johansson,Penelope Wilton,extramarital affair|infidelity|irony of fate|surprise ending|tennis
2665,Elizabeth Allen Rosenbaum,Hutch Dano,26161406.0,Sierra McCormick,Jason Spevack,aunt|cat|death of pet|girl|no opening credits
2666,James Ivory,Peter Vaughan,22954968.0,Anthony Hopkins,Ben Chaplin,butler|housekeeper|manor|servant|service
2667,Paul Thomas Anderson,Nicole Ari Parker,26384919.0,Don Cheadle,Nina Hartley,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california
2668,Robert Harmon,Rosanna Arquette,22189039.0,Kieran Culkin,Joss Ackland,business|escaped convict|farm|motorcycle|widow
2669,Michael Mayer,Danny Pino,20998709.0,Alison Lohman,Tim McGraw,father son relationship|horse|horse ranch|ranch|wild mustang
2670,Martin Weisz,Daniella Alonso,20801344.0,Jeff Kober,Jacob Vargas,desert|fight|hill|murder|mutant
2671,John Ottman,Joey Lawrence,21468807.0,Loretta Devine,Jacinda Barrett,film set|movie set|sequel|slow motion|urban legend
2672,Jay Russell,Sissy Spacek,19158074.0,William Hurt,Jonathan Jackson,fountain of youth|immortality|secret|woods|young man
2673,John Bonito,Firass Dirani,18843314.0,Kelly Carlson,Drew Powell,beating|marine|muscleman|tied up|tough guy
2674,Peter Atencio,Will Forte,20566327.0,Nia Long,Keegan-Michael Key,car chase|gangsta|gun fight|hitman|kitten
2675,Shana Feste,Cinda McCain,20218921.0,Leighton Meester,Tim McGraw,country music|panties|pink panties|relapse|songwriter
2676,David Nutter,Ethan Embry,17411331.0,Bruce Greenwood,Katharine Isabelle,blue ribbon|high school|jacket|jock|yogurt
2677,Derek Cianfrance,Ben Mendelsohn,21383298.0,Ryan Gosling,Angelo Anthony Pizza,bank|carnival|motorcycle|police|rookie cop
2678,Roger Donaldson,Akie Kotabe,24984868.0,Luke Bracey,Will Patton,critically bashed|premarital sex|sex scene|sex standing up|stripper
2679,Stephan Elliott,Patrick Bergin,16459004.0,Jason Priestley,Geneviève Bujold,chicago illinois|false identity|femme fatale|new york city|spying
2680,Kathryn Bigelow,Christian Camargo,15700000.0,Jeremy Renner,Brian Geraghty,army|bomb|dangerous job|death|iraq
2681,Mark L. Lester,George C. Scott,15100000.0,Heather Locklear,David Keith,captain|experiment|fire|psychic|secret government agency
2682,Andrew Dominik,Sam Shepard,14938570.0,Brad Pitt,Ben Mendelsohn,exploding car|hit by a car|poker game|punched in the face|shot to death
2683,Anton Corbijn,Nina Hoss,17237244.0,Philip Seymour Hoffman,Homayoun Ershadi,intelligence|intelligence agency|secret service|surveillance camera|war on terror
2684,Tom Green,Harland Williams,14249005.0,Rip Torn,Eddie Kaye Thomas,animator|bamboo cane|cartoonist|sausage|slacker
2685,Mike Nawrocki,Cam Clarke,12701880.0,Yuri Lowenthal,Phil Vischer,17th century|king|pirate|vegetable|waiter
2686,Catherine Owens,The Edge,10353690.0,Bono,Larry Mullen Jr.,3d in title|digit in title|rock band|rocker|u2
2687,Douglas Aarniokoski,Adrian Paul,12801190.0,Christopher Lambert,Adam Copeland,battle|explosion|immortal|revenge|sequel to cult film
2688,Bryan Barber,Faizon Love,12549485.0,Cicely Tyson,Bobb'e J. Thompson,gangster|playing piano|song and dance|speakeasy|written and directed by cast member
2689,Lone Scherfig,Jim Sturgess,13766014.0,Anne Hathaway,Rafe Spall,23 year time span|accidental death|best friend|loss of loved one|male female friendship
2690,Drew Barrymore,Jimmy Fallon,13034417.0,Daniel Stern,Alia Shawkat,beauty pageant|friend|pageant|roller derby|texas
2691,Brian Koppelman,Tom Noonan,11632420.0,Vin Diesel,Kevin Gage,mob|mobster|money|montana|sheriff
2692,James Foley,Brian Van Holt,12212417.0,Louis Lombardi,Leland Orser,con|grifter|lap dance|organized crime|shot in the forehead
2693,Albert Brooks,Bradley Whitford,11614236.0,Jeff Bridges,Albert Brooks,directed by star|muse|satire|screenwriter|tiffany's
2694,Irwin Winkler,Keith Allen,13337299.0,Kevin McNally,Sandra Nelson,cole porter|composer|love|party|tears
2695,Woody Allen,Larry David,10763469.0,Woody Allen,Mia Farrow,12 year old|artist|hotel|three word title|written and directed by cast member
2696,Steve Gomer,Kyla Pratt,11144518.0,Trevor Morgan,Shirley Douglas,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex
2697,RZA,RZA,15608545.0,Rick Yune,Daniel Wu,blacksmith|box office flop|chop socky|critically bashed|village
2698,Dean Parisot,Jake Busey,10443316.0,Catherine O'Hara,Shelley Duvall,baby|infidelity|pilot|pregnant|waitress
2699,Mark Piznarski,Chris Klein,10494147.0,Bruce Greenwood,Elaine Hendrix,diner|love|private school|school|small town
2700,Terry Gilliam,Bob Hoskins,9929000.0,Robert De Niro,Jim Broadbent,black comedy|bureaucracy|dream|terrorist|wrongful arrest
2701,Sean McNamara,Rebecca De Mornay,10411980.0,Oliver James,Jason Ritter,music school|scholarship|small town|stage fright|three word title
2703,Joel Coen,Jeff Bridges,17439163.0,Philip Seymour Hoffman,Steve Buscemi,death|drug|nihilism|rug|white russian
2704,Craig Brewer,Michael Raymond-James,9396487.0,Justin Timberlake,S. Epatha Merkerson,breasts|nipples visible through clothing|nudity|rear entry sex|white panties
2705,Ron Shelton,Dash Mihok,9059588.0,Khandi Alexander,Michael Michele,corrupt|criminal|investigation|lapd|police
2706,Michael Winterbottom,Archie Panjabi,9172810.0,Angelina Jolie Pitt,Dan Futterman,fbi|journalist|missing|pakistan|reporter
2707,David Raynr,Jodi Lyn O'Keefe,8735529.0,James Franco,Marla Sokoloff,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman
2708,Mort Nathan,Lin Shaye,8586376.0,Vivica A. Fox,Bob Gunton,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone
2709,Oliver Parker,Tom Wilkinson,8378141.0,Colin Firth,Rupert Everett,comedy of manners|false identity|farce|love|period drama
2711,Wil Shriner,Neil Flynn,8080116.0,Logan Lerman,Tim Blake Nelson,fight|florida|montana|owl|school
2712,Martin McDonagh,Anna Madeley,7757130.0,Elizabeth Berrington,Eric Godon,bruges|bullet|hope|irish|tourist
2713,Tina Gordon Chism,S. Epatha Merkerson,9123834.0,Tyler James Williams,Diahann Carroll,african american
2714,Peter Cattaneo,Bradley Cooper,6409206.0,Emma Stone,Josh Gad,20 years later|drummer|hdtv|rock band|rock star
2715,Vicky Jenson,Zach Gilford,6373693.0,J.K. Simmons,Bobby Coleman,graduation|graduation speech|title directed by female|tv studio|unemployment
2716,Gus Van Sant,Hal Holbrook,7556708.0,Matt Damon,Terry Kinney,corporate greed|corporation|natural gas|salesman|small town
2717,Woody Allen,Michael McKean,5306447.0,Larry David,Conleth Hill,atheist|limp|quantum mechanics|religion|runaway
2718,Mary Lambert,Susan Ward,5217498.0,Matthew Settle,A.J. Buckley,clique|country club|female protagonist|lip gloss|title directed by female
2719,Tommy Lee Jones,Dwight Yoakam,5023275.0,Levon Helm,Guillermo Arriaga,cemetery|friend|journey|mexico|promise
2720,Peter Kassovitz,Mark Margolis,4956401.0,Robin Williams,Michael Jeter,german|ghetto|hope|nazi|radio
2721,Shane Black,Corbin Bernsen,4235837.0,Robert Downey Jr.,Larry Miller,actor|detective sergeant|hotel|nightclub|thief
2722,Rodman Flender,Fred Willard,4002955.0,Vivica A. Fox,Elden Henson,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home
2723,David Lynch,Robert Forster,7219578.0,Naomi Watts,Laura Harring,amnesia|car accident|female protagonist|lesbian sex|loss of memory
2724,Katja von Garnier,Agnes Bruckner,3525161.0,Olivier Martinez,Chris Geere,colorado|love|murder|rocky mountains|werewolf
2725,Woody Allen,Naomi Watts,3247816.0,Anthony Hopkins,Ewen Bremner,call girl|charlatan|fortune teller|manuscript|writer
2726,Mark Romanek,Charlie Rowe,2412045.0,Andrew Garfield,Charlotte Rampling,boarding school|childhood|love|love triangle|organ donation
2728,Brad Anderson,Eduardo Noriega,2203641.0,Thomas Kretschmann,Mac McDonald,35 mm digital camera|drugs|murder|train|travel
2729,Michael Chapman,Pamela Reed,1953732.0,Curtis Armstrong,Mike Muscat,cave bear|cro magnon|neanderthal|survival|tradition
2730,Antonio Banderas,Elizabeth Perkins,1954202.0,Meat Loaf,Noah Emmerich,abusive husband|alabama|boy|dream|sheriff
2731,Michael Haneke,Siobhan Fallon Hogan,1294640.0,Naomi Watts,Brady Corbet,breaking the fourth wall|looking at the camera|remake|serial killer|violence
2733,Atom Egoyan,Elaine Cassidy,819852.0,Bob Hoskins,Gerard McSorley,caterer|catering|chef|friend|lawn mower
2734,Fritz Lang,Gustav Fröhlich,26435.0,Brigitte Helm,Rudolf Klein-Rogge,art deco|bible quote|dance|silent film|worker
2735,Pierre Morel,Cyril Raffaelli,1197786.0,David Belle,Dany Verissimo-Petit,bomb|gang|police|sister|undercover cop
2736,Gary Fleder,Bill Cobbs,529766.0,Steve Buscemi,Treat Williams,death|finger gun|video message|what happened to epilogue|wheelchair
2737,Hsiao-Hsien Hou,Chen Chang,613556.0,Qi Shu,Satoshi Tsumabuki,black magic|china|love|refusal to kill|wuxia
2738,Gregor Jordan,Scott Glenn,353743.0,Dean Stockwell,Leon,berlin wall|germany|murder|soldier|specialist
2739,Andrey Zvyagintsev,Vladimir Garin,502028.0,Konstantin Lavronenko,Nataliya Vdovina,boy|photograph|return|russian|wilderness
2740,Tony Jaa,Petchtai Wongkamlao,102055.0,Nirut Sirichanya,Sarunyu Wongkrachang,cult film|elephant|jungle|martial arts|stylized violence
2741,Neil Marshall,JJ Feild,122288.0,Michael Fassbender,Dave Legeno,mushroom|mute|roman soldier|screaming|wood carving
2743,Ryûhei Kitamura,Brooke Shields,73548.0,Bradley Cooper,Leslie Bibb,butcher|girlfriend|mute character|photographer|subway
2745,Dito Montiel,Al Pacino,28870.0,Channing Tatum,Tracy Morgan,housing project|letter|man with glasses|murder|subjective camera
2746,Stefan Ruzowitzky,Udo Kier,22723.0,Eddie Izzard,Edward Fox,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title
2747,Jake Paltrow,Gael Le Cornec,20380.0,Stephen Graham,Keith Allen,commercial|dream|dreaming|girl|new york city
2755,Harold Ramis,Chris Elliott,70906973.0,Bill Murray,Willie Garson,cult film|existentialism|groundhog day|time loop|trapped in a time loop
2756,Gregory Jacobs,Channing Tatum,66009973.0,Matt Bomer,Kevin Nash,male bonding|male friendship|male objectification|muscular|stripper
2757,Baz Luhrmann,Harold Perrineau,46338728.0,Leonardo DiCaprio,Brian Dennehy,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers
2758,Gilles Paquet-Brenner,Aidan Quinn,7691700.0,Kristin Scott Thomas,Arben Bajraktaraj,apartment|escape|jewish family|journalist|key
